MapID,FightEveNo,BKMusic,Side,EnemyNO,NPCID,LocationPos,AI
10951,4,2,Left,3,35002,1,1
10951,4,2,Left,4,35001,4,1
10951,4,2,Left,5,35002,5,1
10951,5,1,Left,1,30002,2,1
10951,5,1,Left,2,30002,4,1
10951,6,1,Left,1,22002,2,1
10951,6,1,Left,2,22002,3,1
10951,6,1,Left,3,22002,4,1
10951,7,1,Left,1,22003,2,1
10951,7,1,Left,2,22003,3,1
10951,7,1,Left,3,22003,4,1
10951,8,1,Left,1,22004,2,1
10951,8,1,Left,2,22004,3,1
10951,8,1,Left,3,22004,4,1
10951,9,1,Left,1,22005,2,1
10951,9,1,Left,2,22005,3,1
10951,9,1,Left,3,22005,4,1
10951,10,1,Left,1,34005,2,1
10951,10,1,Left,2,34005,3,1
10951,11,1,Left,1,34006,3,1
10951,12,1,Left,1,34007,3,1
10951,13,1,Left,1,34008,3,1
10951,14,1,Left,1,35003,2,1
10951,14,1,Left,2,35003,3,1
10951,14,1,Left,3,35003,4,1
10951,15,1,Left,1,35004,2,1
10951,15,1,Left,2,35004,3,1
10951,15,1,Left,3,35004,4,1
10951,16,1,Left,1,34010,4,1
10951,17,1,Left,1,34009,3,1
10951,18,1,Left,1,34010,2,1
10951,18,1,Left,2,34010,3,1
10951,18,1,Left,3,34010,4,1
10951,19,1,Left,1,22040,1,1
10951,19,1,Left,2,22040,2,1
10951,19,1,Left,3,22040,3,1
10951,19,1,Left,4,22040,4,1
10951,19,1,Left,5,22040,5,1
10951,19,1,Left,6,22040,6,1
10951,19,1,Left,7,22040,7,1
10951,19,1,Left,8,22040,8,1
10951,19,1,Left,9,22040,9,1
10951,19,1,Left,10,22040,10,1
10951,20,1,Left,1,22040,3,1
10951,21,1,Left,1,35034,7,1
10951,21,1,Left,2,35032,3,1
10951,21,1,Left,3,35033,9,1
10951,22,1,Left,1,35031,7,1
10951,22,1,Left,2,35029,3,1
10951,22,1,Left,3,35030,9,1
10951,27,1,Left,1,18005,3,1
10954,3,1,Left,1,30001,2,1
10954,3,1,Left,2,30003,4,1
10954,3,1,Left,3,29001,3,1
10963,1,1,Left,1,38007,2,1
10963,1,1,Left,2,38007,3,1
10963,2,1,Left,1,38007,2,1
10963,2,1,Left,2,38007,3,1
10963,2,1,Left,3,38007,4,1
10963,3,1,Left,1,38007,1,1
10963,3,1,Left,2,38007,2,1
10963,3,1,Left,3,38007,3,1
10963,3,1,Left,4,38007,4,1
10963,4,1,Left,1,38007,1,1
10963,4,1,Left,2,38007,2,1
10963,4,1,Left,3,38007,3,1
10963,4,1,Left,4,38007,4,1
10963,4,1,Left,5,38007,5,1
10963,5,1,Left,1,38008,3,1
10963,5,1,Left,2,38008,8,1
10963,6,1,Left,1,38008,7,1
10963,6,1,Left,2,38008,8,1
10963,6,1,Left,3,38008,9,1
10963,7,1,Left,1,38008,2,1
10963,7,1,Left,2,38008,3,1
10963,7,1,Left,3,38008,4,1
10963,7,1,Left,4,38008,8,1
10963,8,1,Left,1,38008,1,1
10963,8,1,Left,2,38008,2,1
10963,8,1,Left,3,38008,3,1
10963,8,1,Left,4,38008,4,1
10963,8,1,Left,5,38008,5,1
10963,9,1,Left,1,38008,2,1
10963,9,1,Left,2,38007,8,1
10963,9,1,Left,3,38008,4,1
10963,10,1,Left,1,38007,7,1
10963,10,1,Left,2,38008,3,1
10963,10,1,Left,3,38007,9,1
10963,11,1,Left,1,38008,2,1
10963,11,1,Left,2,38008,4,1
10963,11,1,Left,3,38007,8,1
10963,11,1,Left,4,38007,3,1
10963,12,1,Left,1,38008,7,1
10963,12,1,Left,2,38008,9,1
10963,12,1,Left,3,38007,8,1
10963,12,1,Left,4,38007,3,1
10963,13,1,Left,1,38009,2,1
10963,13,1,Left,2,38009,4,1
10963,14,1,Left,1,38032,3,1
10963,14,1,Left,2,38032,2,1
10963,15,1,Left,1,38032,2,1
10963,15,1,Left,2,38032,3,1
10963,15,1,Left,3,38032,4,1
10963,16,1,Left,1,38032,1,1
10963,16,1,Left,2,38032,2,1
10963,16,1,Left,3,38032,3,1
10963,16,1,Left,4,38032,4,1
10963,17,1,Left,1,38032,1,1
10963,17,1,Left,2,38032,2,1
10963,17,1,Left,3,38032,3,1
10963,17,1,Left,4,38032,4,1
10963,17,1,Left,5,38032,5,1
10963,18,1,Left,1,38032,3,1
10963,18,1,Left,2,38032,8,1
10963,19,1,Left,1,38032,2,1
10963,19,1,Left,2,38032,8,1
10963,19,1,Left,3,38032,4,1
10963,20,1,Left,1,38032,7,1
10963,20,1,Left,2,38032,8,1
10963,20,1,Left,3,38032,9,1
10963,20,1,Left,4,38032,3,1
10963,21,1,Left,1,38033,1,1
10963,21,1,Left,2,38034,7,1
10963,21,1,Left,3,38035,9,1
10963,21,1,Left,4,38036,5,1
10963,22,1,Left,1,38033,10,1
10963,22,1,Left,2,38034,4,1
10963,22,1,Left,3,38035,2,1
10963,22,1,Left,4,38036,6,1
10964,1,1,Left,1,38007,2,1
10964,1,1,Left,2,38007,3,1
10964,2,1,Left,1,38007,2,1
10964,2,1,Left,2,38007,3,1
10964,2,1,Left,3,38007,4,1
10964,3,1,Left,1,38007,1,1
10964,3,1,Left,2,38007,2,1
10964,3,1,Left,3,38007,3,1
10964,3,1,Left,4,38007,4,1
10964,4,1,Left,1,38007,1,1
10964,4,1,Left,2,38007,2,1
10964,4,1,Left,3,38007,3,1
10964,4,1,Left,4,38007,4,1
10964,4,1,Left,5,38007,5,1
10964,5,1,Left,1,38008,3,1
10964,5,1,Left,2,38008,8,1
10964,6,1,Left,1,38008,7,1
10964,6,1,Left,2,38008,8,1
10964,6,1,Left,3,38008,9,1
10964,7,1,Left,1,38008,4,1
10964,7,1,Left,2,38008,3,1
10964,7,1,Left,3,38008,2,1
10964,7,1,Left,4,38008,8,1
10964,8,1,Left,1,38008,1,1
10964,8,1,Left,2,38008,2,1
10964,8,1,Left,3,38008,3,1
10964,8,1,Left,4,38008,4,1
10964,8,1,Left,5,38008,5,1
10964,9,1,Left,1,38007,2,1
10964,9,1,Left,2,38008,8,1
10964,9,1,Left,3,38007,4,1
10964,10,1,Left,1,38008,7,1
10964,10,1,Left,2,38007,3,1
10964,10,1,Left,3,38008,9,1
10964,11,1,Left,1,38007,2,1
10964,11,1,Left,2,38007,4,1
10964,11,1,Left,3,38008,3,1
10964,11,1,Left,4,38008,8,1
10964,12,1,Left,1,38008,7,1
10964,12,1,Left,2,38008,9,1
10964,12,1,Left,3,38007,8,1
10964,12,1,Left,4,38007,3,1
10964,13,1,Left,1,38009,3,1
10964,14,1,Left,1,38032,2,1
10964,14,1,Left,2,38032,3,1
10964,15,1,Left,1,38032,2,1
10964,15,1,Left,2,38032,3,1
10964,15,1,Left,3,38032,4,1
10964,16,1,Left,1,38032,1,1
10964,16,1,Left,2,38032,2,1
10964,16,1,Left,3,38032,3,1
10964,16,1,Left,4,38032,4,1
10964,17,1,Left,1,38032,1,1
10964,17,1,Left,2,38032,2,1
10964,17,1,Left,3,38032,3,1
10964,17,1,Left,4,38032,4,1
10964,17,1,Left,5,38032,5,1
10964,18,1,Left,1,38032,3,1
10964,18,1,Left,2,38032,8,1
10964,19,1,Left,1,38032,2,1
10964,19,1,Left,2,38032,8,1
10964,19,1,Left,3,38032,4,1
10964,20,1,Left,1,38032,7,1
10964,20,1,Left,2,38032,8,1
10964,20,1,Left,3,38032,9,1
10964,20,1,Left,4,38032,3,1
10964,21,1,Left,1,38033,6,1
10964,21,1,Left,2,38035,2,1
10964,21,1,Left,3,38034,4,1
10964,21,1,Left,4,38036,10,1
10964,22,1,Left,1,38033,1,1
10964,22,1,Left,2,38034,7,1
10964,22,1,Left,3,38035,9,1
10964,22,1,Left,4,38036,5,1
10965,1,1,Left,1,38062,3,1
10965,2,1,Left,1,38062,2,1
10965,2,1,Left,2,38062,4,1
10965,3,1,Left,1,38062,2,1
10965,3,1,Left,2,38062,3,1
10965,3,1,Left,3,38062,4,1
10965,4,1,Left,1,38062,1,1
10965,4,1,Left,2,38062,2,1
10965,4,1,Left,3,38062,3,1
10965,4,1,Left,4,38062,4,1
10965,5,1,Left,1,38062,1,1
10965,5,1,Left,2,38062,2,1
10965,5,1,Left,3,38062,8,1
10965,5,1,Left,4,38062,4,1
10965,5,1,Left,5,38062,5,1
10965,6,1,Left,1,38062,1,1
10965,6,1,Left,2,38062,2,1
10965,6,1,Left,3,38062,7,1
10965,6,1,Left,4,38062,4,1
10965,6,1,Left,5,38062,9,1
10965,6,1,Left,6,38062,5,1
10965,7,1,Left,1,38062,6,1
10965,7,1,Left,2,38062,1,1
10965,7,1,Left,3,38062,2,1
10965,7,1,Left,4,38062,3,1
10965,7,1,Left,5,38062,4,1
10965,7,1,Left,6,38062,5,1
10965,7,1,Left,7,38062,10,1
10965,8,1,Left,1,38062,2,1
10965,8,1,Left,2,38062,8,1
10965,8,1,Left,3,38062,4,1
10965,9,1,Left,1,38062,2,1
10965,9,1,Left,2,38062,3,1
10965,9,1,Left,3,38062,4,1
10965,10,1,Left,1,38062,3,1
10965,10,1,Left,2,38062,8,1
10965,10,1,Left,3,38062,4,1
10965,11,1,Left,1,38062,4,1
10965,11,1,Left,2,38062,2,1
10965,11,1,Left,3,38062,1,1
10965,12,1,Left,1,38062,3,1
10965,12,1,Left,2,38062,4,1
10965,12,1,Left,3,38062,5,1
10965,13,1,Left,1,38062,2,1
10965,13,1,Left,2,38062,7,1
10965,13,1,Left,3,38062,3,1
10965,14,1,Left,1,38062,2,1
10965,14,1,Left,2,38062,4,1
10965,14,1,Left,3,38062,1,1
10965,15,1,Left,1,38062,1,1
10965,15,1,Left,2,38062,3,1
10965,15,1,Left,3,38062,4,1
10965,15,1,Left,4,38062,5,1
10965,16,1,Left,1,38062,2,1
10965,16,1,Left,2,38062,4,1
10965,16,1,Left,3,38062,8,1
10965,17,1,Left,1,38062,1,1
10965,17,1,Left,2,38062,2,1
10965,17,1,Left,3,38062,3,1
10965,18,1,Left,1,38062,4,1
10965,18,1,Left,2,38062,5,1
10965,18,1,Left,3,38062,2,1
10965,19,1,Left,1,38062,1,1
10965,19,1,Left,2,38062,2,1
10965,19,1,Left,3,38062,4,1
10965,20,1,Left,1,38062,4,1
10965,20,1,Left,2,38062,5,1
10965,20,1,Left,3,38062,2,1
10965,21,1,Left,1,38062,4,1
10965,21,1,Left,2,38062,2,1
10965,21,1,Left,3,38062,8,1
10965,22,1,Left,1,38062,10,1
10965,22,1,Left,2,38062,9,1
10965,22,1,Left,3,38062,8,1
10965,23,1,Left,1,38062,3,1
10965,23,1,Left,2,38062,8,1
10965,23,1,Left,3,38062,2,1
10965,24,1,Left,1,38062,7,1
10965,24,1,Left,2,38062,9,1
10965,24,1,Left,3,38062,6,1
10965,25,1,Left,1,38062,6,1
10965,25,1,Left,2,38062,7,1
10965,25,1,Left,3,38062,8,1
10965,26,1,Left,1,38062,2,1
10965,26,1,Left,2,38062,3,1
10965,26,1,Left,3,38062,7,1
10965,27,1,Left,1,38062,1,1
10965,27,1,Left,2,38062,7,1
10965,27,1,Left,3,38062,3,1
10965,28,1,Left,1,38062,7,1
10965,28,1,Left,2,38062,3,1
10965,28,1,Left,3,38062,9,1
10965,29,1,Left,1,38062,7,1
10965,29,1,Left,2,38062,8,1
10965,29,1,Left,3,38062,9,1
10965,30,1,Left,1,38062,8,1
10965,30,1,Left,2,38062,2,1
10965,30,1,Left,3,38062,4,1
10965,31,1,Left,1,38062,9,1
10965,31,1,Left,2,38062,7,1
10965,31,1,Left,3,38062,3,1
10965,32,1,Left,1,38062,2,1
10965,32,1,Left,2,38062,8,1
10965,32,1,Left,3,38062,4,1
10965,32,1,Left,4,38062,3,1
10966,1,1,Left,1,38062,3,1
10966,2,1,Left,1,38062,2,1
10966,2,1,Left,2,38062,4,1
10966,3,1,Left,1,38062,2,1
10966,3,1,Left,2,38062,3,1
10966,3,1,Left,3,38062,4,1
10966,4,1,Left,1,38062,1,1
10966,4,1,Left,2,38062,2,1
10966,4,1,Left,3,38062,3,1
10966,4,1,Left,4,38062,4,1
10966,5,1,Left,1,38062,1,1
10966,5,1,Left,2,38062,2,1
10966,5,1,Left,3,38062,8,1
10966,5,1,Left,4,38062,4,1
10966,5,1,Left,5,38062,5,1
10966,6,1,Left,1,38062,1,1
10966,6,1,Left,2,38062,2,1
10966,6,1,Left,3,38062,7,1
10966,6,1,Left,4,38062,4,1
10966,6,1,Left,5,38062,9,1
10966,6,1,Left,6,38062,5,1
10966,7,1,Left,1,38062,6,1
10966,7,1,Left,2,38062,1,1
10966,7,1,Left,3,38062,2,1
10966,7,1,Left,4,38062,3,1
10966,7,1,Left,5,38062,4,1
10966,7,1,Left,6,38062,5,1
10966,7,1,Left,7,38062,10,1
10966,8,1,Left,1,38062,2,1
10966,8,1,Left,2,38062,8,1
10966,8,1,Left,3,38062,4,1
10966,9,1,Left,1,38062,2,1
10966,9,1,Left,2,38062,3,1
10966,9,1,Left,3,38062,4,1
10966,10,1,Left,1,38062,3,1
10966,10,1,Left,2,38062,8,1
10966,10,1,Left,3,38062,4,1
10966,11,1,Left,1,38062,4,1
10966,11,1,Left,2,38062,2,1
10966,11,1,Left,3,38062,1,1
10966,12,1,Left,1,38062,3,1
10966,12,1,Left,2,38062,4,1
10966,12,1,Left,3,38062,5,1
10966,13,1,Left,1,38062,2,1
10966,13,1,Left,2,38062,7,1
10966,13,1,Left,3,38062,3,1
10966,14,1,Left,1,38062,2,1
10966,14,1,Left,2,38062,4,1
10966,14,1,Left,3,38062,1,1
10966,15,1,Left,1,38062,1,1
10966,15,1,Left,2,38062,3,1
10966,15,1,Left,3,38062,4,1
10966,15,1,Left,4,38062,5,1
10966,16,1,Left,1,38062,2,1
10966,16,1,Left,2,38062,4,1
10966,16,1,Left,3,38062,8,1
10966,17,1,Left,1,38062,1,1
10966,17,1,Left,2,38062,2,1
10966,17,1,Left,3,38062,3,1
10966,18,1,Left,1,38062,4,1
10966,18,1,Left,2,38062,5,1
10966,18,1,Left,3,38062,2,1
10966,19,1,Left,1,38062,1,1
10966,19,1,Left,2,38062,2,1
10966,19,1,Left,3,38062,4,1
10966,20,1,Left,1,38062,4,1
10966,20,1,Left,2,38062,5,1
10966,20,1,Left,3,38062,2,1
10966,21,1,Left,1,38062,4,1
10966,21,1,Left,2,38062,2,1
10966,21,1,Left,3,38062,8,1
10966,22,1,Left,1,38062,10,1
10966,22,1,Left,2,38062,9,1
10966,22,1,Left,3,38062,8,1
10966,23,1,Left,1,38062,3,1
10966,23,1,Left,2,38062,8,1
10966,23,1,Left,3,38062,2,1
10966,24,1,Left,1,38062,7,1
10966,24,1,Left,2,38062,9,1
10966,24,1,Left,3,38062,6,1
10966,25,1,Left,1,38062,6,1
10966,25,1,Left,2,38062,7,1
10966,25,1,Left,3,38062,8,1
10966,26,1,Left,1,38062,2,1
10966,26,1,Left,2,38062,3,1
10966,26,1,Left,3,38062,7,1
10966,27,1,Left,1,38062,1,1
10966,27,1,Left,2,38062,7,1
10966,27,1,Left,3,38062,3,1
10966,28,1,Left,1,38062,7,1
10966,28,1,Left,2,38062,3,1
10966,28,1,Left,3,38062,9,1
10966,29,1,Left,1,38062,7,1
10966,29,1,Left,2,38062,8,1
10966,29,1,Left,3,38062,9,1
10966,30,1,Left,1,38062,8,1
10966,30,1,Left,2,38062,2,1
10966,30,1,Left,3,38062,4,1
10966,31,1,Left,1,38062,9,1
10966,31,1,Left,2,38062,7,1
10966,31,1,Left,3,38062,3,1
10966,32,1,Left,1,38062,2,1
10966,32,1,Left,2,38062,8,1
10966,32,1,Left,3,38062,4,1
10966,32,1,Left,4,38062,3,1
10982,1,1,Left,1,38022,3,1
10982,2,1,Left,1,38022,3,1
10982,2,1,Left,2,38022,4,1
10982,3,1,Left,1,38022,3,1
10982,3,1,Left,2,38022,4,1
10982,3,1,Left,3,38022,2,1
10982,4,1,Left,1,38022,2,1
10982,4,1,Left,2,38022,3,1
10982,4,1,Left,3,38022,4,1
10982,4,1,Left,4,38022,8,1
10982,5,1,Left,1,38022,3,1
10982,6,1,Left,1,38022,3,1
10982,6,1,Left,2,38022,4,1
10982,7,1,Left,1,38022,3,1
10982,7,1,Left,2,38022,4,1
10982,7,1,Left,3,38022,2,1
10982,7,1,Left,4,38022,8,1
10982,8,1,Left,1,38022,4,1
10982,8,1,Left,2,38022,3,1
10982,8,1,Left,3,38022,2,1
10982,8,1,Left,4,38022,1,1
10982,8,1,Left,5,38022,5,1
10982,9,1,Left,1,38022,3,1
10982,9,1,Left,2,38022,4,1
10983,1,1,Left,1,38022,3,1
10983,2,1,Left,1,38022,3,1
10983,2,1,Left,2,38022,4,1
10983,3,1,Left,1,38022,2,1
10983,3,1,Left,2,38022,3,1
10983,3,1,Left,3,38022,4,1
10983,4,1,Left,1,38022,4,1
10983,4,1,Left,2,38022,3,1
10983,4,1,Left,3,38022,2,1
10983,4,1,Left,4,38022,8,1
10983,5,1,Left,1,38022,3,1
10983,5,1,Left,2,38022,8,1
10983,6,1,Left,1,38022,3,1
10983,7,1,Left,1,38022,4,1
10983,7,1,Left,2,38022,3,1
10983,7,1,Left,3,38022,2,1
10983,8,1,Left,1,38022,3,1
10983,9,1,Left,1,38022,4,1
10983,9,1,Left,2,38022,3,1
10984,1,1,Left,1,38022,3,1
10984,2,1,Left,1,38022,3,1
10984,2,1,Left,2,38022,4,1
10984,3,1,Left,1,38022,4,1
10984,3,1,Left,2,38022,3,1
10984,3,1,Left,3,38022,2,1
10984,4,1,Left,1,38022,4,1
10984,4,1,Left,2,38022,3,1
10984,4,1,Left,3,38022,2,1
10984,4,1,Left,4,38022,8,1
10984,5,1,Left,1,38022,3,1
10984,5,1,Left,2,38022,4,1
10984,6,1,Left,1,38022,3,1
10984,7,1,Left,1,38022,4,1
10984,7,1,Left,2,38022,3,1
10984,7,1,Left,3,38022,2,1
10984,8,1,Left,1,38022,3,1
10984,8,1,Left,2,38022,4,1
10985,1,1,Left,1,38022,4,1
10985,2,1,Left,1,38022,4,1
10985,2,1,Left,2,38022,3,1
10985,3,1,Left,1,38022,4,1
10985,3,1,Left,2,38022,3,1
10985,3,1,Left,3,38022,2,1
10985,4,1,Left,1,38022,4,1
10985,4,1,Left,2,38022,3,1
10985,4,1,Left,3,38022,2,1
10985,4,1,Left,4,38022,8,1
10985,5,1,Left,1,38022,3,1
10985,6,1,Left,1,38022,3,1
10985,6,1,Left,2,38022,4,1
10985,7,1,Left,1,38022,3,1
10985,8,1,Left,1,38022,4,1
10985,8,1,Left,2,38022,3,1
10985,8,1,Left,3,38022,2,1
10986,1,1,Left,1,38025,2,1
10986,1,1,Left,2,38025,3,1
10986,1,1,Left,3,38025,4,1
10986,2,1,Left,1,38025,3,1
10986,2,1,Left,2,38025,8,1
10986,3,1,Left,1,38026,2,1
10986,3,1,Left,2,38026,3,1
10986,3,1,Left,3,38026,4,1
10986,4,1,Left,1,38026,3,1
10986,4,1,Left,2,38026,8,1
10986,5,1,Left,1,38027,2,1
10986,5,1,Left,2,38027,3,1
10986,5,1,Left,3,38027,4,1
10986,6,1,Left,1,38027,3,1
10986,6,1,Left,2,38027,8,1
10986,7,1,Left,1,38030,2,1
10986,7,1,Left,2,38030,8,1
10986,7,1,Left,3,38030,4,1
10986,8,1,Left,1,38029,2,1
10986,8,1,Left,2,38029,8,1
10986,8,1,Left,3,38029,4,1
10986,9,1,Left,1,38028,2,1
10986,9,1,Left,2,38028,8,1
10986,9,1,Left,3,38028,4,1
10986,10,1,Left,1,38023,3,1
10986,10,1,Left,2,38024,7,1
10986,10,1,Left,3,38024,8,1
10986,10,1,Left,4,38024,9,1
10987,1,1,Left,1,38025,2,1
10987,1,1,Left,2,38025,3,1
10987,1,1,Left,3,38025,4,1
10987,2,1,Left,1,38025,3,1
10987,2,1,Left,2,38025,8,1
10987,3,1,Left,1,38026,2,1
10987,3,1,Left,2,38026,3,1
10987,3,1,Left,3,38026,4,1
10987,4,1,Left,1,38026,3,1
10987,4,1,Left,2,38026,8,1
10987,5,1,Left,1,38027,2,1
10987,5,1,Left,2,38027,3,1
10987,5,1,Left,3,38027,4,1
10987,6,1,Left,1,38027,3,1
10987,6,1,Left,2,38027,8,1
10987,7,1,Left,1,38030,2,1
10987,7,1,Left,2,38030,8,1
10987,7,1,Left,3,38030,4,1
10987,8,1,Left,1,38029,2,1
10987,8,1,Left,2,38029,8,1
10987,8,1,Left,3,38029,4,1
10987,9,1,Left,1,38028,2,1
10987,9,1,Left,2,38028,8,1
10987,9,1,Left,3,38028,4,1
10987,10,1,Left,1,38023,3,1
10987,10,1,Left,2,38024,7,1
10987,10,1,Left,3,38024,8,1
10987,10,1,Left,4,38024,9,1
10988,1,1,Left,1,38025,2,1
10988,1,1,Left,2,38025,3,1
10988,1,1,Left,3,38025,4,1
10988,2,1,Left,1,38025,3,1
10988,2,1,Left,2,38025,8,1
10988,3,1,Left,1,38026,2,1
10988,3,1,Left,2,38026,3,1
10988,3,1,Left,3,38026,4,1
10988,4,1,Left,1,38026,3,1
10988,4,1,Left,2,38026,8,1
10988,5,1,Left,1,38027,2,1
10988,5,1,Left,2,38027,3,1
10988,5,1,Left,3,38027,4,1
10988,6,1,Left,1,38027,3,1
10988,6,1,Left,2,38027,8,1
10988,7,1,Left,1,38030,2,1
10988,7,1,Left,2,38030,8,1
10988,7,1,Left,3,38030,4,1
10988,8,1,Left,1,38029,2,1
10988,8,1,Left,2,38029,8,1
10988,8,1,Left,3,38029,4,1
10988,9,1,Left,1,38028,2,1
10988,9,1,Left,2,38028,8,1
10988,9,1,Left,3,38028,4,1
10988,10,1,Left,1,38023,3,1
10988,10,1,Left,2,38024,7,1
10988,10,1,Left,3,38024,8,1
10988,10,1,Left,4,38024,9,1
10989,1,1,Left,1,38023,3,1
10989,2,1,Left,1,38025,2,1
10989,2,1,Left,2,38025,3,1
10989,2,1,Left,3,38025,4,1
10989,3,1,Left,1,38025,3,1
10989,3,1,Left,2,38025,8,1
10989,4,1,Left,1,38026,2,1
10989,4,1,Left,2,38026,3,1
10989,4,1,Left,3,38026,4,1
10989,5,1,Left,1,38026,3,1
10989,5,1,Left,2,38026,8,1
10989,6,1,Left,1,38027,2,1
10989,6,1,Left,2,38027,3,1
10989,6,1,Left,3,38027,4,1
10989,7,1,Left,1,38027,3,1
10989,7,1,Left,2,38027,8,1
10989,8,1,Left,1,38030,2,1
10989,8,1,Left,2,38030,8,1
10989,8,1,Left,3,38030,4,1
10989,9,1,Left,1,38029,2,1
10989,9,1,Left,2,38029,8,1
10989,9,1,Left,3,38029,4,1
10989,10,1,Left,1,38028,2,1
10989,10,1,Left,2,38028,8,1
10989,10,1,Left,3,38028,4,1
10991,1,3,Left,1,12017,7,1
10991,1,3,Left,2,12043,3,1
10991,1,3,Left,3,12020,9,1
10991,1,3,Left,4,12022,1,1
10991,1,3,Left,5,12027,5,1
10991,1,3,Left,6,17509,10,1
10991,1,3,Left,7,17509,4,1
10991,1,3,Left,8,17509,8,1
10991,1,3,Left,9,17509,2,1
10991,1,3,Left,10,17509,6,1
10991,1,3,Left,11,12044,2,1
10991,1,3,Left,12,12023,4,1
10991,1,3,Left,13,17507,6,1
10991,1,3,Left,14,17507,8,1
10991,1,3,Left,15,17507,10,1
10991,2,1,Left,1,11076,3,1
10991,2,1,Left,2,11088,4,1
10991,2,1,Left,3,11087,2,1
10991,2,1,Left,4,14101,5,1
10991,2,1,Left,5,11146,1,1
10991,2,1,Left,6,17380,10,1
10991,2,1,Left,7,17380,9,1
10991,2,1,Left,8,17380,8,1
10991,2,1,Left,9,17380,7,1
10991,2,1,Left,10,17380,6,1
10991,3,1,Left,1,13028,2,1
10991,3,1,Left,2,13001,5,1
10991,3,1,Left,3,13074,4,1
10991,3,1,Left,4,13007,3,1
10991,3,1,Left,5,13072,1,1
10991,3,1,Left,6,17364,10,1
10991,3,1,Left,7,17364,9,1
10991,3,1,Left,8,17364,8,1
10991,3,1,Left,9,17364,7,1
10991,3,1,Left,10,17364,6,1
10991,4,1,Left,1,12003,1,1
10991,4,1,Left,2,12004,4,1
10991,4,1,Left,3,12032,2,1
10991,4,1,Left,4,12060,5,1
10991,4,1,Left,5,12101,3,1
10991,4,1,Left,6,17084,10,1
10991,4,1,Left,7,17084,9,1
10991,4,1,Left,8,17084,8,1
10991,4,1,Left,9,17084,7,1
10991,4,1,Left,10,17084,6,1
10991,5,1,Left,1,13047,5,1
10991,5,1,Left,2,13048,4,1
10991,5,1,Left,3,13094,2,1
10991,5,1,Left,4,13095,3,1
10991,5,1,Left,5,13026,1,1
10991,5,1,Left,6,17132,10,1
10991,5,1,Left,7,17132,9,1
10991,5,1,Left,8,17132,8,1
10991,5,1,Left,9,17132,7,1
10991,5,1,Left,10,17132,6,1
10991,6,1,Left,1,14180,3,1
10991,6,1,Left,2,14187,4,1
10991,6,1,Left,3,14237,2,1
10991,6,1,Left,4,14230,5,1
10991,6,1,Left,5,14194,1,1
10991,6,1,Left,6,17256,6,1
10991,6,1,Left,7,17256,7,1
10991,6,1,Left,8,17256,8,1
10991,6,1,Left,9,17256,9,1
10991,6,1,Left,10,17256,10,1
10991,7,1,Left,1,12035,3,1
10991,7,1,Left,2,12016,4,1
10991,7,1,Left,3,12031,2,1
10991,7,1,Left,4,12055,5,1
10991,7,1,Left,5,12056,1,1
10991,7,1,Left,6,17196,10,1
10991,7,1,Left,7,17196,9,1
10991,7,1,Left,8,17196,8,1
10991,7,1,Left,9,17196,7,1
10991,7,1,Left,10,17196,6,1
10991,8,1,Left,1,11101,3,1
10991,8,1,Left,2,11005,4,1
10991,8,1,Left,3,11137,2,1
10991,8,1,Left,4,11067,5,1
